pair_id,source_id_a,source_id_b,sep_au,r_chance_align
WB0000,1003080575370626944,1003080575370617728,658.4,7.9316e-06
WB0001,100536353946761728,100536353946762112,1677.5,0.00019496
WB0002,1006533767732900736,1006533763440848256,620.8,9.1814e-07
WB0003,1008929564913828224,1008929569208837376,854.2,6.6423e-06
WB0004,1013776353903292928,1013776353903293056,667.6,2.4462e-08
WB0005,1023714839506527360,1023714800850475008,11171.6,0.032244
WB0006,1025186016128402176,1025186016129824640,363.5,6.0618e-10
WB0007,102552411595524352,102552411595527040,3364.9,0.025267
WB0008,1028216029656530432,1028216033951309440,285.6,1.7565e-10
WB0009,1029820217121659904,1017810595208747776,3068.5,4.7683e-05
WB0010,1042071701528617728,1042071701528617856,335.7,3.0965e-07
WB0011,1043114618370678784,1043114549651200896,1759.4,3.1985e-07
WB0012,1045632779172316288,1045820413407933312,4717.1,0.0017565
WB0013,1049741649829703552,1049741654124591232,2275.5,3.5205e-05
WB0014,1051864188307366272,1051864158243487360,7528.2,0.00021533
WB0015,1052299045157345152,1052299113875750912,994.5,7.3153e-09
WB0016,1054092417340727424,1054092417341483008,540.5,2.8157e-11
WB0017,1061156057994470400,1061155680037347456,3937.3,2.5322e-05
WB0018,1062250660475231872,1062250660474551936,432.8,1.3705e-06
WB0019,1063981772814746368,1063981734158309248,900.1,1.1991e-06
WB0020,1068605146193622656,1068605116130339968,6625.9,0.019695
WB0021,1068909504756042112,1068908650057637248,14414.1,0.013827
WB0022,1075991635244641920,1075991630949164288,1297.3,6.6726e-05
WB0023,1083458521787419008,1083458521787418880,153.7,1.1657e-07
WB0024,1087317562789799680,1087317567082694912,199.1,2.2897e-07
WB0025,1094734082252355968,1094734077955951232,744.0,1.8761e-05
WB0026,1094968518747322624,1094968518745533440,139.5,5.9968e-05
WB0027,1096472822451826560,1096472818155770880,2423.8,0.00025599
WB0028,1099325161772414208,1099324955613356544,322.0,1.3488e-11
WB0029,1100655330324351616,1100267237077449728,13629.2,0.0024674
